Years,United States,Portugal,China,United Kingdom,Brazil,Australia,South Africa,South America,North America,Asia,Africa,Europe,Oceania
1990,6842.587,915.581,374.932,3582.081,31.01,7273.504,4237.061,,4245.793,,,1802.89,
1991,6767.267,983.254,417.835,3657.307,36.491,7401.234,4119.627,,4207.053,,,1787.229,
1992,6838.777,1021.977,470.145,3353.06,32.461,7470.466,4052.403,,4238.656,,,1719.191,
1993,7055.815,1138.382,483.443,2947.453,31.295,7571.199,4187.34,,4339.272,,,1622.287,
1994,6986.972,1151.813,563.738,2770.44,31.177,7691.317,4176.159,,4302.473,,,1628.965,
1995,6988.161,1328.865,597.851,2655.507,33.591,7888.329,4188.435,,4306.292,,,1629.026,
1996,7251.213,1238.403,658.485,2498.901,36.605,8160.353,4372.954,,4453.136,,,1619.715,
1997,7354.226,1273.765,687.028,2053.258,43.719,8564.316,4486.634,,4521.368,,,1545.785,
1998,7373.629,1172.895,701.011,2101.693,41.073,8928.049,4292.979,,4546.156,,,1565.644,
1999,7316.018,1467.648,756.67,1808.37,58.505,9110.054,4209.925,,4506.34,,,1518.35,
2000,6979.744,1417.873,821.556,2035.697,60.987,8638.632,4040.01,58.092,4311.734,550.402,239.931,1615.683,5449.786
2001,6689.763,1316.062,869.151,2223.452,61.232,8813.902,4023.587,56.151,4136.023,579.132,239.727,1617.028,5600.933
2002,6729.095,1464.472,981.044,2094.855,50.184,8547.336,4090.71,48.222,4154.021,626.173,240.95,1639.687,5381.818
2003,6810.332,1393.148,1155.604,2321.973,49.282,8409.021,4374.86,48.951,4194.591,694.399,252.153,1711.521,5311.182
2004,6766.781,1419.168,1301.821,2201.168,55.976,8795.928,4496.147,56.184,4129.213,750.72,257.003,1655.2,5491.506
2005,6823.438,1449.304,1487.966,2233.282,58.079,8494.172,4493.47,56.508,4177.257,820.655,253.396,1628.496,5361.201
2006,6684.971,1418.973,1720.267,2447.331,55.855,8324.929,4603.681,55.009,4070.28,903.049,254.341,1697.087,5257.787
2007,6707.929,1172.782,1973.783,2212.182,55.646,8318.855,4717.857,59.765,4088.692,1003.14,256.557,1690.78,5193.558
2008,6543.3,1057.071,2001.308,2001.445,60.772,8128.053,4542.234,59.983,3962.65,1015.659,244.385,1614.812,5087.854
2009,5732.474,1216.514,2138.984,1640.017,50.854,8000.146,4320.977,56.988,3474.421,1065.299,228.716,1459.396,4968.925
2010,5978.063,670.061,2362.343,1695.404,56.971,7648.043,4424.705,68.782,3611.491,1155.904,231.568,1465.016,4754.147
2011,5563.282,931.937,2681.349,1693.795,63.843,7281.923,4375.838,76.884,3361.74,1270.723,228.871,1511.087,4494.601
2012,4821.11,1243.551,2707.826,2212.93,71.103,6966.92,4228.067,88.796,2917.574,1301.746,220.223,1587.749,4301.04
2013,4997.179,1130.523,2929.391,2004.493,106.25,6388.758,4042.496,112.443,3005.002,1387.901,208.861,1542.899,3911.283
2014,4963.42,1147.029,3003.357,1532.182,128.82,6088.634,3886.574,118.655,2978.272,1433.123,202.493,1422.394,3716.016
2015,4214.682,1420.67,2876.054,1152.138,128.135,6369.582,3745.326,126.563,2544.993,1401.918,194.471,1392.474,3880.458
2016,3836.188,1223.181,2939.324,462.609,121.409,6383.458,3690.423,125.407,2329.476,1440.86,189.507,1291.195,3874.059
2017,3709.31,1425.86,3117.496,337.642,118.364,6036.701,3700.244,117.622,2243.167,1509.119,189.178,1239.102,3670.639
2018,3514.225,1171,3336.432,250.664,107.939,6008.88,3676.427,113.65,2110.179,1598.889,188.523,1173.488,3644.143
2019,2932.431,540.769,3382.449,102.028,110.543,5623.095,3509.155,114.794,1790.332,1612.244,180.817,961.716,3413.165
2020,2336.507,231.447,3416.688,78.367,99.031,5134.926,3278.44,108.042,1409.777,1591.71,167.477,788.175,3124.809
2021,2699.427,84.58,3727.455,87.674,124.303,4867.727,3228.407,,1589.765,,,881.045,
