Years,United States,Portugal,China,United Kingdom,Brazil,Australia,South Africa,South America,North America,Asia,Africa,Europe,Oceania
1990,1589.807,0,2.355,87.513,2.185,740.864,0,,991.023,,,1046.809,
1991,1611.822,0,2.036,101.587,2.46,651.716,0,,1011.918,,,1019.227,
1992,1690.679,0,2.044,218.988,2.528,687.5,0,,1064.494,,,949.126,
1993,1719.085,0,2.563,590.949,2.474,695.725,0,,1083.095,,,938.336,
1994,1887.037,0,2.564,922.037,3.005,761.636,0,,1183.278,,,884.894,
1995,2011.571,0,2.417,1100.247,3.454,760.237,0,,1264.955,,,900.384,
1996,1823.493,0,2.259,1446.995,5.918,656.183,0,,1147.149,,,979.334,
1997,1897.153,8.846,6.4,1903.02,7.039,662.417,0,,1201.021,,,1031.498,
1998,2075.928,197.767,4.789,2013.332,7.78,778.365,0,,1324.952,,,1058.322,
1999,2147.835,786.971,3.756,2433.755,15.395,858.146,0,,1373.276,,,1164.736,
2000,2183.054,693.398,4.471,2513.097,21.969,802.994,0,214.516,1422.31,246.893,119.595,1220.104,587.747
2001,2245.65,697.194,3.795,2400.029,52.766,1200.333,0,224.717,1488.27,258.428,124.948,1250.828,852.138
2002,2405.359,870.403,3.205,2566.821,65.279,1519.481,0,223.688,1603.782,275.5,141.83,1301.61,1021.55
2003,2242.495,742.118,3.923,2499.604,68.258,1460.445,0,250.682,1526.938,290.901,146.655,1394.297,994.451
2004,2428.899,1116.425,5.638,2623.397,98.855,1344.591,0,284.104,1657.896,304.02,161.147,1488.721,915.1
2005,2579.582,1295.143,9.122,2531.849,95.096,1079.86,1.671,278.372,1734.046,314.575,168.236,1571.932,783.017
2006,2741.949,1170.463,17.797,2315.47,91.461,1222.821,0.412,292.059,1875.329,333.276,176.542,1602.431,867.787
2007,2982.584,1240.879,25.193,2697.74,76.579,1497.872,1.629,310.287,2031.009,359.726,180.764,1711.613,1085.071
2008,2909.459,1434.597,25.54,2835.622,143.259,1601.797,1.607,351.707,1975.616,364.271,184.159,1785.921,1151.818
2009,3006.717,1387.204,41.553,2650.066,65.554,1807.286,0.198,317.269,2045.783,379.973,183.279,1660.327,1234.226
2010,3196.322,1406.184,56.787,2767.894,178.066,2032.978,14.839,387.753,2175.67,423.29,203.8,1778.536,1364.682
2011,3253.344,1411.624,79.019,2288.279,121.814,2065.4,15.96,357.06,2241.002,443.115,203.524,1691.526,1372.328
2012,3903.563,1013.651,79.649,1552.414,225.353,2098.328,31.42,445.652,2608.607,457.623,216.559,1527.211,1429.219
2013,3555.114,690.345,83.621,1474.824,328.548,2166.854,52.154,509.835,2406.099,461.44,215.023,1427.918,1476.39
2014,3535.312,655.582,95.237,1542.117,382.613,2104.556,53.168,536.899,2404.98,491.078,217.496,1361.395,1405.599
2015,4155.719,1018.485,118.641,1516.547,371.738,1952.157,67.526,565.91,2781.986,496.862,224.917,1401.691,1307.369
2016,4267.002,1218.338,133.15,2162.36,262.511,1891.38,28.644,521.596,2839.319,516.077,223.282,1540.899,1241.232
2017,3988.006,1836.026,142.996,2049.381,301.25,2089.111,31.047,529.264,2668.44,534.264,238.768,1601.828,1377.099
2018,4491.43,1522.007,150.948,1958.396,249.201,1975.247,30.108,513.172,2972.887,521.571,239.082,1567.745,1292.493
2019,4819.141,1687.825,162.158,1933.654,273.206,2090.608,29.885,511.962,3145.582,521.389,239.881,1665.782,1369.396
2020,4906.819,1726.047,171.588,1637.304,243.602,1908.636,30.181,479.153,3181.673,513.476,227.652,1581.065,1288.726
2021,4731.627,1543.088,185.062,1797.026,366.039,1701.552,29.812,,3051.42,,,1612.189,
