Years,United States,Portugal,China,United Kingdom,Brazil,Australia,South Africa,South America,North America,Asia,Africa,Europe,Oceania
1965,996.197,448.53,30.511,85.028,306.032,679.716,1.909,226.594,1078.912,69.84,,,
1966,990.298,598.541,30.288,83.124,325.638,633.554,1.81,239.703,1111.26,71.345,,,
1967,1114.346,626.338,25.418,89.034,331.558,639.161,1.274,247.552,1194.302,64.514,,,
1968,1108.593,597.154,29.169,67.51,337.991,650.843,1.146,256.589,1192.067,70.492,,,
1969,1232.926,729.659,28.858,58.807,352.487,693.679,0.977,270.576,1309.056,71.473,,,
1970,1209.91,670.879,29.044,81.622,418.459,795.018,1.133,311.134,1309.335,71.515,,,
1971,1287.959,709.195,34.256,60.504,443.144,882.938,4.941,336.19,1359.983,76.672,,,
1972,1306.87,806.225,37.897,60.348,507.524,872.333,35.822,377.525,1419.736,77.534,,,
1973,1292.937,822.301,41.402,68.528,566.109,914.684,41.191,416.374,1438.622,70.169,,,
1974,1415.309,865.931,45.874,72.577,627.269,1019.723,46.105,471.961,1549.828,78.457,,,
1975,1397.723,698.848,47.083,68.35,674.217,1080.918,44.453,504.96,1497.215,82.822,,,
1976,1310.901,514.604,46.881,80.728,755.19,1015.653,72.609,553.287,1464.885,83.223,,,
1977,1012.197,1056.724,48.162,70.351,831.485,961.072,73.411,601.879,1293.079,79.757,,,
1978,1271.309,1131.733,44.462,72.43,892.503,1029.892,70.268,647.807,1474.536,82.42,,,
1979,1257.747,1160.676,49.239,76.559,988.985,988.417,41.111,720.961,1482.384,87.445,,,
1980,1228.894,821.97,58.216,70.344,1068.048,923.103,34.738,785.139,1466.77,92.239,,,
1981,1150.554,511.055,64.607,78.601,1058.223,938.358,56.353,779.742,1466.912,96.799,,,
1982,1349.443,701.157,72.391,80.652,1115.683,852.538,33.698,827.474,1549.085,93.77,,,
1983,1434.891,810.462,82.899,80.602,1170.154,797.89,19.197,867.236,1603.336,96.493,,,
1984,1374.933,984.252,82.042,80.521,1258.412,851.055,17.587,936.574,1612.574,94.518,,,
1985,1194.106,1076.927,85.895,70.093,1318.619,889.99,19.095,984.658,1546.454,102.788,,872.079,
1986,1223.312,857.711,86.345,84.361,1320.834,881.151,48.454,1008.577,1550.157,101.998,,845.165,
1987,1042.266,923.233,89.62,73.896,1317.325,841.232,47.146,1038.781,1437.62,103.516,,889.017,
1988,923.243,1235.757,95.953,85.977,1386.176,871.275,90.083,1056.893,1339.249,115.436,,921.849,
1989,1100.103,588.323,102.221,83.692,1398.841,852.799,76.788,1052.303,1400.033,117.087,,834.023,
1990,1159.291,923.665,107.695,91.189,1387.272,870.223,27.445,1061.144,1432.543,120.894,,877.702,
1991,1128.808,910.645,104.526,80.641,1436.102,910.657,52.494,1116.828,1426.556,120.609,,886.869,
1992,978.346,463.256,108.299,94.523,1447.841,916.063,19.445,1123.593,1354.426,119.808,,912.897,
1993,1075.978,852.286,124.585,74.65,1498.67,930.91,3.684,1183.503,1415.774,132.256,,933.809,
1994,988.942,1060.226,136.119,88.118,1522.304,907.379,26.477,1231.449,1351.958,128.412,,947.758,
1995,1173.689,825.462,153.58,83.546,1567.122,868.723,12.767,1248.252,1478.303,139.032,,953.984,
1996,1295.207,1455.494,150.179,58.334,1614.491,877.907,31.226,1273.945,1590.273,135.934,,893.486,
1997,1310.104,1287.524,155.294,71.518,1668.403,867.587,48.665,1319.856,1563.8,134.851,,921.369,
1998,1170.487,1270.799,156.362,87.506,1716.692,849.948,36.514,1327.168,1430.202,141.881,,955.643,
1999,1136.626,707.982,153.397,90.946,1700.338,866.582,16.374,1308.012,1446.754,134.907,,974.358,
2000,958.536,1099.337,172.337,86.383,1724.123,853.016,29.799,1519.724,1387.608,151.84,91.876,1013.58,1346.695
2001,731.322,1356.676,213.551,68.669,1496.647,854.404,45.204,1403.009,1182.157,162.454,97.737,1033.39,1248.526
2002,889.692,751.011,220.27,80.74,1577.553,810.252,51.137,1449.963,1293.875,165.445,97.968,935.388,1310.499
2003,922.207,1507.246,215.676,54.23,1664.162,821.946,16.695,1493.014,1269.503,170.918,93.655,878.854,1263.023
2004,889.091,942.61,267.209,80.838,1725.972,799.31,19.877,1532.126,1261.604,197.199,96.818,944.577,1337.524
2005,894.121,450.112,298.337,81.608,1794.902,751.293,27.569,1600.787,1303.754,204.397,96.84,954.242,1188.476
2006,949.392,1043.362,325.603,75.467,1835.175,768.283,59.188,1653.29,1315.256,219.853,97.869,934.124,1191.384
2007,800.41,954.304,360.522,82.662,1947.453,678.895,17.508,1690.028,1241.846,227.395,97.599,949.325,1135.213
2008,818.95,641.793,470.578,82.71,1905.22,552.683,23.905,1678.21,1287.122,256.434,96.828,973.655,1011.216
2009,877.615,780.833,452.288,83.242,1996.426,536.99,27.537,1707.579,1269.544,248.133,97.409,976.735,1038.781
2010,824.241,1524.152,519.707,56.571,2040.021,609.352,40.807,1692.856,1221.867,280.256,105.359,1021.236,1079.921
2011,1004.32,1091.832,499.848,88.876,2146.931,740.527,39.228,1783.006,1357.751,281.472,103.684,911.353,1162.719
2012,863.86,533.9,623.31,82.293,2063.303,610.375,22.524,1722.87,1272.547,318.955,102.034,979.547,1017.721
2013,834.006,1310.987,653.51,72.325,1925.427,779.19,20.675,1672.13,1259.983,334.691,104.074,1043.592,1113.042
2014,794.512,1494.497,757.217,90.029,1823.304,777.236,16.5,1558.775,1230.732,363.134,106.019,1035.314,1128.349
