Years,United States,Portugal,China,United Kingdom,Brazil,Australia,South Africa,South America,North America,Asia,Africa,Europe,Oceania
1965,19.271,0,0,279.033,0,0,0,0,13.166,0.013,,,
1966,28.779,0,0,370.486,0,0,0,0,19.493,0.301,,,
1967,39.519,0,0,424.248,0,0,0,0,26.35,0.316,,,
1968,64.079,0,0,475.037,0,0,0,0,44.603,0.512,,,
1969,70.601,0,0,526.026,0,0,0,0,47.336,0.864,,,
1970,109.549,0,0,468.065,0,0,0,0,73.622,2.75,,,
1971,189.75,0,0,494.148,0,0,0,0,134.328,4.116,,,
1972,266.977,0,0,525.617,0,0,0,0,191.379,4.723,,,
1973,408.373,0,0,499.89,0,0,0,0,303.249,5.239,,,
1974,552.585,0,0,599.318,0,0,0,4.925,390.372,9.375,,,
1975,828.845,0,0,540.28,0,0,0,11.7,554.894,11.613,,,
1976,909.878,0,0,643.461,0,0,0,11.69,616.029,15.202,,,
1977,1183.53,0,0,712.072,0,0,0,7.276,807.289,13.605,,,
1978,1291.832,0,0,662.279,0,0,0,12.588,883.277,26.184,,,
1979,1181.423,0,0,681.575,0,0,0,11.444,821.855,31.664,,,
1980,1151.893,0,0,658.665,0,0,0,9.729,806.273,36.542,,,
1981,1239.119,0,0,675.356,0,0,0,11.452,861.206,38.518,,,
1982,1273.004,0,0,781.844,0,0,0,7.44,872.928,44.186,,,
1983,1309.721,0,0,887.186,0,0,0,13.256,917.201,51.836,,,
1984,1447.503,0,0,958.214,12.411,0,123.266,23.947,1004.738,61.134,,,
1985,1679.357,0,0,1082.984,24.994,0,162.643,34.137,1159.753,71.888,,1116.475,
1986,1795.287,0,0,1045.23,1.043,0,262.808,21.41,1249.913,75.886,,1181.269,
1987,1955.628,0,0,974.933,6.906,0,179.808,26.661,1353.907,87.661,,1245.283,
1988,2242.404,0,0,1116.932,4.233,0,298.938,22.519,1531.182,80.825,,1362.886,
1989,2231.309,0,0,1259.059,12.506,0,308.906,23.691,1509.983,83.924,,1415.791,
1990,2408.464,0,0,1150.796,15.013,0,229.589,32.221,1596.686,89.026,,1403.545,
1991,2533.224,0,0,1231.262,9.509,0,242.425,30.575,1695.027,93.434,,1434.213,
1992,2534.503,0,0,1337.081,11.403,0,240.17,28.867,1678.235,94.353,,1439.596,
1993,2475.269,0,1.316,1551.154,2.818,0,183.051,26.29,1669.364,102.931,,1486.374,
1994,2570.714,0,11.997,1528.304,0.345,0,239.054,26.155,1748.113,108.233,,1443.019,
1995,2673.233,0,10.342,1535.582,15.547,0,272.735,29.739,1789.337,117.484,,1477.783,
1996,2646.843,0,11.455,1629.052,14.744,0,278.758,30.174,1756.704,121.753,,1565.508,
1997,2435.398,0,11.425,1683.322,18.952,0,294.202,33.429,1613.273,127.953,,1581.697,
1998,2577.121,0,11.085,1700.394,19.23,0,311.362,31.691,1666.332,131.34,,1564.471,
1999,2752.067,0,11.665,1620.176,23.079,0,289.522,32.278,1770.243,131.77,,1599.277,
2000,2676.112,0,12.971,1443.571,28.262,0,289.319,31.371,1709.126,128.652,16.042,1610.356,0
2001,2701.365,0,13.447,1523.74,80.532,0,235.236,58.896,1728.377,127.975,12.902,1659.464,0
2002,2715.336,0,19.222,1480.794,77.087,0,259.8,53.695,1731.905,125.1,14.084,1688.718,0
2003,2635.228,0,32.951,1489.051,73.704,0,270.981,56.311,1681.459,116.833,14.514,1709.255,0
2004,2697.169,0,38.146,1336.167,63.041,0,301.956,51.475,1739.191,128.825,15.976,1726.035,0
2005,2650.872,0,39.894,1353.836,49.429,0,255.636,41.877,1712.79,133.826,13.36,1706.394,0
2006,2643.816,0,40.974,1240.518,68.981,0,207.674,53.52,1714.997,136.315,10.722,1710.141,0
2007,2682.626,0,46.159,1025.626,61.274,0,256.516,48.301,1723.472,129.607,13.084,1640.221,0
2008,2656.498,0,50.526,844.636,68.791,0,256.13,52.18,1702.905,124.485,12.91,1641.102,0
2009,2608,0,51.463,1099.817,63.027,0,229.213,50.991,1666.011,128.732,11.421,1570.588,0
2010,2611.457,0,54.602,979.203,70.358,0,251.87,52.122,1655.692,134.181,12.412,1614.19,0
2011,2536.073,0,63.349,1077.443,74.931,0,248.828,52.172,1620.166,110.49,12.134,1603.174,0
2012,2449.753,0,71.03,1091.045,76.121,0,234.703,52.599,1566.245,79.01,11.331,1571.149,0
2013,2493.738,0,80.107,1086.575,72.873,0,253.506,50.375,1606.113,78.671,12.119,1545.528,0
2014,2501.526,0,95.194,974.427,71.315,0,270.606,48.275,1605.064,83.964,12.808,1561.631,0
2015,2484.369,0,121.818,1068.021,67.931,0,198.063,49.495,1588.99,93.964,9.277,1544.74,0
2016,2494.273,0,150.759,1081.934,72.612,0,270.604,54.426,1588.657,102.486,12.539,1509.146,0
2017,2476.124,0,174.593,1054.139,71.451,0,264.692,48.987,1573.905,105.548,12.128,1506.878,0
2018,2467.408,0,206.634,968.996,74.808,0,182.723,52.221,1570.201,121.608,8.276,1494.98,0
2019,2459.728,0,243.203,831.924,72.116,0,232.247,54.19,1557.626,140.532,10.397,1503.819,0
2020,2386.325,0,254.425,748.902,66.099,0,195.924,55.855,1508.921,141.625,8.668,1401.655,0
2021,2337.383,0,282.139,687.025,68.74,0,204.19,,1470.789,,,1475.907,
