Years,United States,Portugal,China,United Kingdom,Brazil,Australia,South Africa,South America,North America,Asia,Africa,Europe,Oceania
1990,539.341,953.983,42.796,639.37,34.025,204.828,0,,506.37,,,639.227,
1991,505.875,1021.576,43.527,525.913,34.593,167.489,0,,486.73,,,625.4,
1992,419.053,1401.826,44.095,538.418,41.055,137.425,0,,433.967,,,577.548,
1993,467.293,1018.342,53.703,395.47,39.628,134.663,0,,449.017,,,507.939,
1994,434.226,809.355,39.186,285.648,40.409,142.09,0,,453.259,,,482.068,
1995,302.325,1026.625,44.398,329.176,46.794,154.031,0,,343.774,,,496.575,
1996,326.23,599.96,40.228,338.303,56.667,136.894,0,,360.857,,,473.116,
1997,366.273,674.23,37.334,229.988,59.62,108.663,0,,415.131,,,455.182,
1998,503.297,1053.451,41.975,207.999,66.022,95.497,0,,522.824,,,462.902,
1999,455.746,1089.278,39.22,194.496,96.547,93.49,0,,482.231,,,422.968,
2000,411.841,851.695,36.628,191.944,82.213,91.62,0,131.827,571.635,145.661,47.535,382.6,213.205
2001,476.41,929.27,37.348,158.311,84.596,109.926,0,134.491,613.019,134.104,47.142,378.804,244.051
2002,360.938,1123.629,38.781,152.715,71.127,102.055,0,124.954,522.345,136.956,44.661,389.679,239.964
2003,456.773,628.019,41.686,150.601,56.378,73.889,0,120.973,562.078,138.918,45.308,367.681,234.924
2004,444.255,569.195,49.528,138.46,63.313,104.127,0,140.922,557.995,139.115,41.003,330.077,254.178
2005,427.535,865.015,37.955,159.07,59.368,136.779,0,135.394,542.375,137.012,48.049,325.475,276.045
2006,240.497,526.424,28.332,167.704,62.072,133.487,0,145.059,387.679,131.354,50.34,321.872,271.074
2007,250.126,488.029,20.869,138.638,65.744,155.859,22.191,166.174,388.875,136.297,52.886,288.798,276.21
2008,182.644,419.053,13.897,159.305,86.913,164.071,2.612,186.921,336.918,129.241,56.833,273.084,273.894
2009,158.436,337.606,8.904,146.271,70.918,142.523,0.991,177.476,315.895,116.388,61.211,244.394,263.629
2010,153.716,315.212,10.856,115.821,76.745,134.509,3.71,193.1,299.922,115.961,56.509,238.689,262.793
2011,134.185,283.839,8.812,92.781,68.856,122.904,12.884,193.584,298.109,137.932,52.25,245.772,272.546
2012,124.473,231.8,7.903,97.481,90.523,151.066,34.07,208.322,306.383,143.464,59.013,238.68,290.778
2013,127.244,190.012,7.192,84.021,121.521,194.798,63.516,227.06,290.771,135.627,67.584,201.419,322.258
2014,137.1,154.537,6.803,88.807,160.729,232.239,63.618,236.944,265.019,120.65,70.104,200.774,359.228
2015,138.495,155.28,6.881,101.275,132.292,241.93,67.887,234.721,262.708,118.496,76.892,202.198,361.527
2016,122.285,156.893,7.334,113.578,67.859,224.625,70.987,190.958,255.671,111.406,72.66,208.078,355.874
2017,116.554,151.625,6.946,99.359,69.815,200.125,0.526,157.941,243.228,96.935,62.617,197.965,346.287
2018,130.481,134.553,7.53,105.598,55.426,187.966,2.076,136.479,244.403,97.669,56.328,193.724,334.369
2019,113.777,149.616,7.498,111.358,44.539,177.358,20.834,118.235,235.378,92.331,59.898,184.024,331.608
2020,103.745,144.164,7.934,120.938,32.509,161.962,23.099,122.899,224.027,84.654,57.154,166.417,321.947
2021,104.351,148.506,9.271,125.793,71.591,163.641,44.635,,119.982,,,171.691,
