Years,United States,Portugal,China,United Kingdom,Brazil,Australia,South Africa,India
1965,16142.73,776.884,1837.435,25171.583,242.02,17857.74,14793.063,828.268
1966,16745.517,796.904,1917.409,23812.496,255.138,18061.054,14236.166,809.243
1967,16267.37,798.737,1659.292,22123.428,256.681,18088.791,14275.024,805.698
1968,16681.163,724.209,1601.792,22033.325,246.015,18148.33,14560.457,816.207
1969,16600.464,685.76,1881.685,21385.139,267.594,18314.5,14324.837,848.564
1970,16298.065,627.789,2331.619,20095.207,298.011,18111.005,14413.554,786.775
1971,15276.474,577.49,2621.33,17753.18,292.692,17844.496,15008.674,779.886
1972,15766.076,505.474,2706.111,15510.588,300.782,18342.477,14714.888,804.842
1973,16783.684,737.652,2679.915,16765.683,288.663,18834.892,15260.701,775.846
1974,16238.268,564.777,2596.212,14737.577,299.049,19408.932,15570.097,855.542
1975,16092.405,522.398,2869.894,14809.784,347.198,19787.711,16193.982,898.578
1976,17106.638,500.092,2888.733,15061.295,361.837,20220.832,16580.509,914.379
1977,17371.317,447.638,3127.225,15106.664,448.173,20874.923,16758.956,935.528
1978,17016.801,521.077,3383.235,14716.208,503.253,21184.14,15882.381,884.891
1979,18418.668,538.117,3450.56,15819.107,533.844,21892.866,16521.429,918.737
1980,18712.096,417.446,3538.706,14703.77,568.751,22261.807,17394.559,943.648
1981,19120.241,470.133,3471.519,14620.893,543.479,22544.07,20074.953,1037.404
1982,18243.805,431.229,3623.566,13631.212,561.208,22476.551,21412.21,1002.274
1983,18748.846,469.757,3826.638,13749.324,616.745,22149.635,21155.928,1039.523
1984,19948.069,580.255,4099.778,9760.198,744.74,23075.891,22189.132,1067.131
1985,20234.129,900.727,4403.417,12962.901,861.57,23502.738,22203.159,1093.118
1986,19795.439,1698.85,4521.794,13972.677,854.344,23715.063,21962.836,1148.715
1987,20460.376,2214.777,4813.429,14280.144,876.95,24306.838,21825.751,1234.174
1988,21211.543,2557.634,5072.607,13824.322,879.135,25149.388,23074.272,1296.237
1989,21260.758,2856.111,5220.243,13269.093,856.236,25963.802,21037.522,1379.509
1990,21172.437,3347.253,5212.514,13219.903,749.117,26198.812,21274.117,1461.192
1991,20773.28,3499.775,5393.116,13206.141,843.82,26369.078,20381.093,1523.527
1992,20716.847,3530.618,5578.387,12383.524,805.009,26201.24,19954.305,1581.707
1993,21278.51,3827.558,5883.051,10754.507,815.665,26068.499,19547.229,1606.233
1994,21137.591,3967.737,6212.642,10013.383,823.744,26309.16,19712.785,1625.725
1995,21092.846,4842.705,6234.773,9526.85,850.08,26908.512,20024.105,1692.682
1996,21791.064,4498.674,6467.851,8878.772,863.345,27706.369,19945.263,1708.615
1997,21974.543,4076.107,6285.217,7892.254,855.046,28794.954,20031.133,1753.786
1998,21910.915,4059.212,6188.547,7668.634,824.809,29756.44,19120.55,1778.999
1999,21612.42,4198.726,6319.895,6794.032,822.94,31262.718,19682.647,1730.804
2000,22315.576,4192.766,6362.72,7249.223,864.931,31150.047,19301.982,1808.832
2001,21437.63,3570.004,6647.344,7654.145,839.681,30509.103,19114.444,1792.516
2002,21228.326,3919.114,7241.71,7000.417,802.119,30863.55,17954.113,1840.995
2003,21443.095,3736.274,8578.299,7440.196,821.844,31387.058,19712.813,1896.484
2004,21395.203,3681.923,9942.894,7113.282,851.367,32285.804,21337.986,1986.087
2005,21515.599,3691.886,11576.039,7220.395,811.729,31624.159,19428.849,2140.201
2006,20989.082,3643.677,12640.681,7826.91,791.711,31930.396,19540.919,2188.295
2007,21070.116,3162.465,13687.973,7264.607,830.334,31063.221,19808.284,2359.3
2008,20538.21,2761.726,13827.096,6665.112,833.892,31746.299,21806.246,2515.834
2009,17898.288,3132.446,14403.51,5514.813,666.407,30104.106,21617.175,2683.555
2010,18771.298,1808.401,14859.829,5668.008,859.407,27413.092,21077.723,2737.25
2011,17565.326,2443.716,16085.623,5712.917,909.654,26266.415,20241.941,2833.667
2012,15406.792,3215.886,16197.189,7021.78,892.162,24205.364,19446.016,3031.933
2013,15873.157,2942.363,16452.77,6616.975,953.281,22626.456,19140.771,3206.485
2014,15724.122,2990.668,16374.014,5289.307,1004.946,22114.362,19080.32,3480.735
2015,13491.349,3656.714,15980.731,4074.587,1002.475,22578.133,17630.486,3509.706
2016,12261.759,3205.547,15757.176,1944.156,898.059,22256.248,18681.708,3532.175
2017,11851.051,3670.364,15753.075,1578.737,939.556,21210.556,18118.753,3619.031
2018,11279.437,3087.746,15781.556,1313.273,911.535,20433.969,16961.73,3817.161
2019,9573.985,1419.701,15845.612,894.847,853.044,19334.678,17272.489,3780.705
2020,7722.986,659.273,15877.543,792.051,756.61,18395.968,16310.51,3529.924
