Years,United States,Portugal,China,United Kingdom,Brazil,Australia,South Africa,India
1965,20823.778,0,15.308,158.452,6.158,2.605,0,4.753
1966,22203.338,0,18.191,153.663,7.006,3.39,0,5.226
1967,23212.724,0,19.296,257.119,7.71,3.303,0,6.839
1968,24619.425,0,17.996,577.781,7.936,24.933,0,7.44
1969,26264.713,0,24.509,1121.034,8.151,329.621,0,8.737
1970,27438.171,0,34.951,2128.304,8.527,1352.611,0,11.399
1971,28036.789,0,44.411,3420.877,13.103,1981.619,27.125,11.809
1972,28072.278,0,56.103,4841.987,17.563,2799.293,39.362,12.659
1973,27595.49,0,67.759,5228.141,19.629,3504.286,41.512,12.335
1974,26401.928,0,83.539,6243.773,36.888,3947.061,47.431,13.64
1975,24016.373,0,96.299,6535.318,39.145,4187.091,60.769,17.061
1976,24272.837,0,107.984,6927.5,44.044,4885.091,59.851,20.254
1977,23559.458,0,127.523,7360.994,53.653,5518.414,55.943,21.141
1978,23422.926,0,142.336,7635.064,68.952,5875.716,55.994,23.078
1979,23976.943,0,148.298,8365.193,73.789,6686.689,67.506,28.051
1980,23258.994,0,143.81,8339.757,84.247,7585.888,74.471,16.211
1981,22486.278,0,126.627,8450.987,73.836,8116.839,70.352,27.652
1982,20706.85,0,116.969,8405.697,103.061,7809.556,62.305,35.418
1983,19244.312,0,118.051,8756.483,136.188,8363.139,68.678,41.175
1984,20362.798,0,118.391,8949.876,154.994,8125.274,67.059,46.086
1985,19415.999,0,121.159,9611.625,190.277,8551.809,61.692,55.113
1986,18026.656,0,126.649,9752.767,217.127,9192.943,63.148,75.314
1987,18986.716,0,125.431,9992.55,237.591,9231.492,57.054,84.883
1988,19670.859,0,126.324,9492.297,234.618,9299.241,56.238,97.323
1989,20703.605,0,130.939,9250.234,236.107,9984.199,56.003,113.294
1990,20508.514,0,131.01,9604.353,211.104,9891.137,535.558,132.75
1991,20758.975,0,130.873,10346.688,215.635,9355.922,528.639,144.858
1992,21259.586,0,131.881,10269.125,240.141,9560.279,476.088,158.744
1993,21575.07,0,138.634,11670.94,276.665,9798.984,321.394,158.152
1994,21854.252,0,143.877,11984.288,297.252,10763.067,314.423,167.691
1995,22551.478,0,144.083,12740.475,322.831,10749.456,311.6,187.545
1996,22691.422,0,149.694,14795.885,350.075,10711.081,266.2,200.859
1997,22543.295,98.899,156.883,15164.187,374.531,10404.256,216.691,214.334
1998,21883.487,786.956,160.508,15713.657,386.556,10596.281,212.846,230.93
1999,21693.316,2192.015,169.043,16671.436,451.956,10737.635,267.574,232.39
2000,22306.241,2242.38,191.358,17198.932,555.209,10823.351,253.427,240.046
2001,21104.765,2489.868,212.802,17057.845,693.368,11549.732,303.46,236.537
2002,21585.671,3015.816,224.986,16777.423,808.536,11759.396,301.61,242.88
2003,20778.407,2895.813,259.824,16757.365,893.646,11717.345,225.287,255.747
2004,20681.327,3613.203,302.203,17034.122,1050.099,11797.801,514.739,271.499
2005,20176.494,4080.303,352.991,16485.326,1081.365,11526.601,721.691,299.106
2006,19699.767,3906.389,431.735,15497.899,1125.052,12638.948,772.266,307.83
2007,20762.517,4151.449,528.07,15507.339,1146.668,13874.243,771.761,328.009
2008,20722.262,4532.523,605.31,15742.611,1336.294,13376.425,787.86,333.045
2009,20163.675,4497.671,662.843,14519.462,1066.017,13395.548,658.517,403.277
2010,20976.373,4896.883,795.392,15520.522,1409.038,14311.396,804.823,477.7
2011,21124.679,4970.662,981.934,12795.395,1391.464,14550.429,823.201,482.176
2012,21911.694,4327.724,1089.994,11917.62,1634.653,14391,824.742,440.038
2013,22345.834,4123.304,1234.864,11745.321,1909.251,14910.376,755.185,382.712
2014,22664.613,3960.333,1345.977,10708.086,2005.068,15773.983,788.027,374.356
2015,23173.274,4648.636,1383.872,10939.167,2099.878,16210.522,779.728,364.896
2016,23190.787,4913.852,1481.145,12168.357,1798.96,15608.695,650.207,383.468
2017,22763.076,6161.708,1697.737,11771.642,1810.68,15096.598,703.551,401.408
2018,25121.525,5654.521,1988.762,11846.601,1713.417,14389.114,763.211,429.455
2019,25807.625,5999.335,2150.792,11447.236,1693.128,16700.659,724.68,433.618
2020,25136.358,5878.277,2296.775,10679.009,1511.022,16038.754,683.029,431.889
