Years,United States,Portugal,China,United Kingdom,Brazil,Australia,South Africa,India
1965,2767.216,1245.919,84.754,236.19,850.091,1888.102,5.302,106.67
1966,2750.829,1662.614,84.132,230.901,904.55,1759.873,5.028,109.096
1967,3095.408,1739.83,70.606,247.318,920.996,1775.448,3.539,119.553
1968,3079.426,1658.763,81.024,187.528,938.864,1807.898,3.183,135.092
1969,3424.797,2026.831,80.162,163.352,979.132,1926.888,2.714,146.793
1970,3360.865,1863.555,80.679,226.727,1162.387,2208.385,3.147,152.282
1971,3577.666,1969.989,95.156,168.066,1230.957,2452.607,13.726,163.302
1972,3630.198,2239.516,105.27,167.634,1409.789,2423.148,99.507,154.897
1973,3591.495,2284.172,115.007,190.356,1572.526,2540.79,114.419,161.158
1974,3931.417,2405.367,127.428,201.603,1742.417,2832.567,128.07,151.495
1975,3882.566,1941.246,130.788,189.861,1872.827,3002.553,123.48,176.842
1976,3641.395,1429.457,130.225,224.246,2097.751,2821.261,201.693,180.783
1977,2811.661,2935.346,133.784,195.421,2309.682,2669.647,203.921,192.776
1978,3531.418,3143.704,123.506,201.195,2479.177,2860.814,195.189,233.771
1979,3493.744,3224.103,136.775,212.664,2747.183,2745.605,114.196,220.307
1980,3413.597,2283.251,161.711,195.401,2966.802,2564.177,96.494,220.335
1981,3195.985,1419.597,179.465,218.336,2939.512,2606.552,156.535,229.414
1982,3748.456,1947.661,201.085,224.034,3099.121,2368.162,93.605,189.145
1983,3985.811,2251.285,230.276,223.894,3250.429,2216.362,53.326,178.074
1984,3819.262,2734.035,227.895,223.671,3495.59,2364.043,48.853,194.459
1985,3316.965,2991.467,238.597,194.703,3662.834,2472.196,53.041,183.494
1986,3398.091,2382.531,239.847,234.337,3668.987,2447.645,134.593,182.081
1987,2895.186,2564.538,248.944,205.266,3659.238,2336.758,130.961,165.927
1988,2564.565,3432.66,266.536,238.826,3850.492,2420.211,250.231,181.151
1989,3055.845,1634.232,283.949,232.478,3885.672,2368.887,213.3,205.799
1990,3220.256,2570.511,299.152,248.79,3853.537,2417.287,76.237,211.2
1991,3135.58,2533.212,290.351,219.916,3989.175,2529.605,145.815,230.379
1992,2717.629,1296.872,300.832,258.687,4021.783,2544.623,54.015,214.024
1993,2988.831,2372.465,346.069,207.51,4162.975,2585.863,10.233,211.859
1994,2747.063,2947.286,378.108,246.081,4228.624,2520.498,73.546,235.629
1995,3260.25,2296.529,426.61,223.057,4353.121,2413.121,35.463,218.785
1996,3597.801,4046.057,417.165,162.324,4484.702,2438.634,86.738,195.27
1997,3639.181,3577.825,431.372,209.434,4634.455,2409.966,135.182,194.855
1998,3251.357,3530.816,434.34,242.96,4768.593,2360.967,101.427,227.874
1999,3157.298,1973.661,426.102,252.421,4723.165,2407.173,45.483,220.095
2000,2689.534,3054.525,478.715,239.754,4837.593,2408.471,68.012,202.411
2001,2038.622,3745.142,589.345,189.259,4172.039,2318.18,104.222,184.898
2002,2464.081,2059.227,603.966,221.268,4369.262,2274.659,123.815,171.904
2003,2537.816,4107.067,587.581,147.636,4579.571,2250.46,48.249,169.846
2004,2431.08,2551.395,723.345,219.031,4719.399,2136.048,54.375,241.162
2005,2429.401,1211.001,802.484,219.646,4876.863,2061.636,74.827,228.342
2006,2563.305,2768.328,870.315,201.87,4954.857,1946.168,159.73,258.28
2007,2147.599,2519.045,957.644,219.454,5225.247,1657.14,154.964,275.261
2008,2183.693,1693.927,1242.21,218.384,5080.123,1462.06,66.796,253.207
2009,2325.623,2049.719,1186.566,218.295,5290.421,1524.809,75.446,229.094
2010,2170.822,3973.527,1355.07,147.558,5372.765,1617.754,58.183,229.717
2011,2628.986,2828.465,1295.349,230.389,5619.89,2250.429,152.677,272.983
2012,2247.57,1375.688,1605.505,211.931,5368.238,1915.855,49.656,235.595
2013,2156.862,3356.445,1673.149,185.23,4979.382,2101.598,52.644,263.818
2014,2042.413,3803.118,1927.053,229.033,4687.079,1562.123,83.754,273.027
2015,1943.005,2113.07,2004.098,241.885,4450.807,1489.012,26.976,257.354
2016,2053.494,3829.351,2051.011,203.716,4646.385,1827.267,45.927,243.752
2017,2282.533,1432.908,2049.698,220.369,4461.578,1372.785,86.026,253.652
2018,2199.825,3003.195,2087.134,201.515,4615.195,1730.749,50.306,256.786
2019,2148.149,2135.235,2197.739,217.619,4668.243,1386.69,41.185,293.604
2020,2151.644,3009.651,2266.035,235.453,4605.538,1406.232,20.766,292.55
