Years,United States,Portugal,China,United Kingdom,Brazil,Australia,South Africa,India
1965,2.952633,1.3108,0.084754,0.23619,0.850091,1.96078,0.005302,0.10667
1966,2.944301,1.72564,0.084132,0.230901,0.90455,1.827919,0.005028,0.109096
1967,3.287131,1.800776,0.070606,0.247318,0.920996,1.843144,0.003539,0.119553
1968,3.289253,1.731662,0.081024,0.187528,0.938864,1.872023,0.003183,0.135092
1969,3.64186,2.116756,0.080162,0.163352,0.979132,1.989238,0.002714,0.146793
1970,3.576124,1.923276,0.080679,0.226727,1.177419,2.265056,0.003147,0.152282
1971,3.795601,2.015647,0.095156,0.168066,1.249006,2.508661,0.013726,0.163302
1972,3.873409,2.275229,0.10527,0.167634,1.429722,2.481874,0.099507,0.154897
1973,3.849546,2.346538,0.115007,0.190356,1.59292,2.610691,0.114419,0.161158
1974,4.19247,2.460677,0.127428,0.201603,1.763246,2.920154,0.12807,0.151495
1975,4.133035,2.012717,0.130788,0.189861,1.895294,3.101174,0.12348,0.176842
1976,3.924904,1.498138,0.130225,0.224246,2.119619,2.917736,0.201693,0.180783
1977,3.104658,3.004268,0.133784,0.195421,2.337276,2.754207,0.203921,0.192776
1978,3.835792,3.211167,0.123506,0.201195,2.511316,2.939765,0.195189,0.233771
1979,3.808448,3.298286,0.136775,0.212664,2.789035,2.826165,0.114196,0.220307
1980,3.736266,2.374411,0.161711,0.195401,3.008356,2.637485,0.096494,0.220335
1981,3.524298,1.507562,0.179465,0.218336,2.981629,2.682495,0.156535,0.229414
1982,4.062146,2.047,0.201085,0.224034,3.146959,2.46385,0.093605,0.189145
1983,4.336641,2.364888,0.230276,0.223894,3.314471,2.295154,0.053326,0.178074
1984,4.234398,2.838468,0.227895,0.22372,3.555427,2.443469,0.048853,0.194459
1985,3.737495,3.144775,0.238597,0.194753,3.725816,2.553063,0.053041,0.183494
1986,3.841139,2.552112,0.239847,0.234386,3.733226,2.52792,0.134593,0.182081
1987,3.378978,2.736572,0.248944,0.205266,3.729538,2.417432,0.130961,0.165927
1988,3.040727,3.615896,0.266536,0.238875,3.915084,2.543632,0.250231,0.181151
1989,3.625812,1.820435,0.283949,0.232917,3.950274,2.503505,0.2133,0.205799
1990,3.954812,2.765317,0.299312,0.278194,4.382479,2.541677,0.076237,0.211416
1991,3.910299,2.761227,0.290525,0.253706,4.530558,2.646757,0.145815,0.231027
1992,3.539937,1.545538,0.301401,0.305456,4.560851,2.653501,0.054015,0.214659
1993,3.841964,2.626872,0.346829,0.275746,4.713069,2.694208,0.010233,0.212898
1994,3.602122,3.219394,0.380025,0.335646,4.807116,2.632773,0.073546,0.237308
1995,4.078561,2.584456,0.434752,0.320565,4.942132,2.544908,0.035463,0.221843
1996,4.391005,4.328385,0.420796,0.271908,5.103947,2.588157,0.090683,0.199909
1997,4.454903,3.885236,0.437823,0.341721,5.237715,2.566347,0.144616,0.200339
1998,4.062735,3.848842,0.440563,0.410605,5.356067,2.53053,0.116116,0.234352
1999,3.986528,2.342659,0.432628,0.454908,5.317045,2.587118,0.057825,0.228492
2000,3.53824,3.471417,0.485493,0.467394,5.349704,2.597764,0.098083,0.211021
2001,2.896338,4.200836,0.596364,0.445655,4.655095,2.521193,0.130498,0.195591
2002,3.418314,2.569493,0.612463,0.514691,4.908125,2.576613,0.1519,0.190355
2003,3.540171,4.62495,0.598598,0.492263,5.11704,2.627995,0.073225,0.190084
2004,3.511095,3.184759,0.735759,0.642691,5.298573,2.664354,0.07781,0.269353
2005,3.580822,2.106595,0.82359,0.769484,5.49694,2.791326,0.100349,0.259157
2006,3.910164,4.043322,0.901141,0.830136,5.558767,2.797048,0.18377,0.300131
2007,3.670848,4.210983,0.997787,0.916547,6.022257,2.639363,0.17998,0.32662
2008,4.072772,3.799206,1.309318,1.079133,6.077197,2.44409,0.093247,0.314039
2009,4.451951,4.772537,1.295046,1.236365,6.386445,2.503441,0.101557,0.296649
2010,4.596716,7.33636,1.512301,1.285499,6.641936,2.706902,0.081494,0.310153
2011,5.332758,6.250247,1.5076,1.617861,6.820682,3.639143,0.179054,0.369863
2012,5.137305,5.048906,1.878431,1.807197,6.58754,3.516576,0.076255,0.345802
2013,5.402304,7.510555,2.033539,2.278838,6.390335,4.045673,0.088777,0.384998
2014,5.510496,8.018881,2.37066,2.716766,6.312954,3.685366,0.206048,0.407339
2015,5.566685,6.339238,2.525347,3.366368,6.372309,3.893293,0.311891,0.394114
2016,6.132182,8.173696,2.727726,3.313819,6.616128,4.420073,0.400291,0.408384
2017,6.703576,5.773512,2.950998,3.867506,6.590973,4.067738,0.550387,0.450064
2018,6.819484,7.444744,3.218528,4.295852,6.996789,5.010732,0.541365,0.499474
2019,6.968088,6.956779,3.505625,4.701506,7.28227,5.500129,0.549153,0.563166
2020,7.312632,7.672033,3.769705,5.150045,7.22692,6.293062,0.544781,0.580508
