Years,United States,Portugal,China,United Kingdom,Brazil,Australia,South Africa,South America,North America,Asia,Africa,Europe,Oceania
1965,1062.947,471.888,30.511,85.028,306.032,705.88,1.909,226.594,1123.045,69.892,,,
1966,1059.948,621.23,30.288,83.124,325.638,658.05,1.81,239.703,1157.079,71.408,,,
1967,1183.366,648.279,25.418,89.034,331.558,663.531,1.274,247.552,1239.466,64.601,,,
1968,1184.13,623.398,29.169,67.51,337.991,673.928,1.146,256.589,1241.224,70.579,,,
1969,1311.069,762.031,28.858,58.807,352.487,716.125,0.977,270.576,1359.623,71.559,,,
1970,1287.404,692.379,29.044,81.622,423.87,815.42,1.133,314.061,1359.163,71.706,,,
1971,1366.415,725.632,34.256,60.504,449.642,903.117,4.941,341.156,1410.29,76.853,,,
1972,1394.426,819.082,37.897,60.348,514.699,893.474,35.822,382.82,1475.549,77.722,,,
1973,1385.835,844.753,41.402,68.528,573.451,939.848,41.191,421.628,1497.961,70.365,,,
1974,1509.288,885.843,45.874,72.577,634.768,1051.254,46.105,477.415,1610.389,78.676,,,
1975,1487.891,724.578,47.083,68.35,682.305,1116.422,44.453,511.598,1555.219,83.071,,,
1976,1412.964,539.329,46.881,80.728,763.062,1050.384,72.609,559.807,1532.158,83.439,,,
1977,1117.676,1081.535,48.162,70.351,841.419,991.514,73.411,609.368,1363.182,80.058,,,
1978,1380.884,1156.019,44.462,72.43,904.073,1058.314,70.268,656.057,1547.023,82.799,,,
1979,1371.04,1187.382,49.239,76.559,1004.052,1017.419,41.111,730.88,1558.521,88.169,,,
1980,1345.055,854.787,58.216,70.344,1083.007,949.494,34.738,794.739,1543.826,93.474,,,
1981,1268.746,542.722,64.607,78.601,1073.386,965.697,56.353,789.285,1546.58,98.71,,,
1982,1462.371,736.919,72.391,80.652,1132.904,886.985,33.698,838.587,1626.658,98.778,,,
1983,1561.189,851.359,82.899,80.602,1193.209,826.255,19.197,881.674,1688.62,102.182,,,
1984,1524.382,1021.848,82.042,80.539,1279.953,879.648,17.587,950.091,1712.219,100.632,,,
1985,1345.497,1132.118,85.895,70.111,1341.293,919.102,19.095,998.845,1645.709,109.174,,887.629,
1986,1382.809,918.76,86.345,84.379,1343.96,910.05,48.454,1023.207,1658.625,108.544,,863.6,
1987,1216.431,985.165,89.62,73.896,1342.633,870.275,47.146,1054.37,1557.908,110.038,,907.236,
1988,1094.661,1301.722,95.953,85.995,1409.429,915.707,90.083,1071.65,1458.247,122.328,,941.298,
1989,1305.291,655.356,102.221,83.85,1422.098,901.261,76.788,1067.005,1540.907,124.426,,853.484,
1990,1399.839,993.395,107.752,101.865,1413.171,915.003,27.445,1079.217,1595.715,126.797,,905.242,
1991,1380.285,992.33,104.589,92.86,1462.476,952.832,52.494,1135.224,1597.257,126.561,,915.786,
1992,1243.495,551.686,108.504,111.409,1479.796,955.26,19.445,1147.259,1534.89,125.775,,944.008,
1993,1347.375,943.317,124.858,99.302,1530.445,969.914,3.684,1207.056,1600.256,138.099,,968.545,
1994,1257.163,1157.786,136.809,120.318,1556.1,947.798,26.477,1256.236,1535.329,135.288,,985.822,
1995,1426.272,929.512,156.511,118.586,1601.647,916.166,12.767,1273.716,1655.459,147.292,,996.285,
1996,1550.985,1557.132,151.486,97.74,1655.525,931.736,32.646,1302.902,1769.022,144.168,,937.104,
1997,1566.528,1398.586,157.616,119.196,1712.557,923.884,52.062,1350.563,1743.132,144.006,,975.088,
1998,1421.956,1385.347,158.602,147.838,1760.926,910.99,41.802,1356.223,1608.433,151.576,,1020.243,
1999,1393.42,840.606,155.746,163.84,1748.957,931.362,20.817,1340.368,1627.515,145.535,,1046.004,
2000,1245.71,1249.864,174.777,169.373,1766.516,900.932,39.806,1544.551,1603.928,169.021,95.341,1101.123,1497.211
2001,979.979,1522.029,216.094,161.693,1544.673,906.501,53.981,1430.462,1377.305,179.922,101.444,1130.468,1404.002
2002,1165.033,936.839,222.894,187.607,1631.692,894.267,60.887,1481.292,1504.724,183.266,101.457,1053.663,1483.496
2003,1196.451,1697.09,218.411,178.303,1726.425,942.715,25.471,1528.791,1482.178,189.378,97.575,1020.353,1460.934
2004,1173.233,1175.636,270.146,236.167,1790.317,976.375,28.123,1570.616,1482.427,216.869,101.36,1122.082,1570.897
2005,1190.162,785.079,303.86,280.819,1864.103,978.762,36.549,1643.202,1538.441,225.936,101.719,1162.439,1485.298
2006,1273.58,1491.06,333.774,297.757,1910.799,1032.334,67.644,1701.333,1563.721,243.896,102.703,1174.079,1515.856
2007,1150.5,1533.129,372.008,320.396,2040.073,1000.653,26.466,1748.399,1509.562,254.269,102.531,1235.013,1500.533
2008,1234.423,1381.743,491.351,351.597,2008.068,866.761,33.347,1744.592,1589.431,286.787,102.134,1298.447,1392.812
2009,1348.645,1724.81,488.108,401.887,2115.31,841.806,36.848,1786.394,1613.875,285.214,103.283,1342.334,1435.467
2010,1365.224,2675.524,574.502,412.545,2207.102,960.97,49.007,1798.5,1613.547,327.311,112.469,1442.332,1524.419
2011,1626.912,2281.116,575.654,549.812,2319.019,1181.56,47.881,1892.596,1798.327,338.994,110.933,1419.718,1666.741
2012,1559.082,1840.151,722.126,639.129,2261.057,1146.964,31.42,1851.109,1761.23,386.539,109.445,1576.795,1573.82
2013,1635.237,2813.896,785.542,818.817,2153.247,1407.875,30.175,1821.798,1823.126,417.626,112.987,1715.532,1725.771
2014,1705.947,3030.267,921.241,986.197,2105.801,1520.569,61.785,1736.942,1867.192,462.035,120.744,1759.862,1830.512
2015,1724.299,2350.423,990.624,1253.717,2081.168,1390.16,101.83,1757.361,1868.959,492.455,120.429,1797.715,1763.229
2016,1924.301,3128.166,1076.901,1251.773,2230.565,1520.44,129.698,1820.072,1994.914,529.761,118.496,1847.375,1858.757
2017,2165.835,2194.678,1173.144,1481.399,2217.685,1628.254,165.41,1849.852,2142.543,575.616,122.149,1864.286,1888.726
2018,2233.135,2867.536,1285.549,1638.773,2334.375,1781.257,193.278,1906.813,2198.611,622.884,127.751,1987.136,1993.706
2019,2304.591,2680.376,1405.067,1784.092,2411.472,2038.63,193.995,1949.605,2226.757,674.088,128.136,2035.727,2124.001
2020,2474.905,2952.914,1518.167,1943.7,2485.046,2341.187,263.368,1957.17,2325.156,712.735,130.3,2200.968,2275.89
,,,,,,,,,2350.085,,,2183.673,
