,name,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.0019191919191919,0.0019191919191919,0.059,0.059,0.059,0.059,0.062,0.062,0.062,0.162,0.264,0.329,0.405,0.69,0.945,1.552,2.448,2.977206,3.788514141414141,6.641651515151516,8.72419191919192,10.18857373737374,11.31148787878788,11.145443434343434,12.817069696969696,26.96639090909091,30.93311717171717,31.513615151515157,33.14446565656566,32.6596696969697,36.10247467347183
1,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.005,0.007,0.006,0.012,0.015,0.017,0.019,0.018,0.021,0.019,0.02,0.019,0.0449999999999998,0.2479999999999993,0.2549999999999993,0.5963527777777761,1.2391111111111075,1.6483213888888844,3.688310277777768,4.184543888888877,6.426196666666649,8.745094722222197,10.378094722222194,10.619781666666636,13.088611111111073,16.726666680048,19.706818407682547
2,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026949494949494,0.0065555555555555,0.005820202020202,0.0042313131313131,0.0035767676767676,0.0008797979797979,2.133376767676768,2.8167676767676766,2.980758585858586,2.9166898989898997,3.0361888888888897,3.481928282828284,3.196215151515152,3.2667363636363635,3.3212474747474747,3.056258585858586,4.533331313131312,5.649758585858587,6.805384848484849,10.458868686868689,11.300470707070708,14.286607070707072,17.990453535353534,26.857714141414142,34.79790606060607,55.92232323232324,74.63245656565657,95.6083292929293,121.39050404040404,142.24414444444446,169.53509595959596,183.49018383838384,192.644997979798,229.28541616161615,256.8714090909091,275.42167070707075,298.871195959596,340.91900505050506
4,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009618,0.014592,0.032541,0.034781,0.034758,0.049361,0.073405,0.077954,0.0724459999999999,0.071719665,0.06964,0.0615929999999999,0.0419510779999999,0.0368315285999999,0.0253516061999999,0.0265905499999999,0.3698619993329999,0.453354876,0.619491,0.5933349629999998,0.5473589999999999,0.6115669999999999,1.4127429999999996,4.995966423999997,9.470297616854376
5,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.005,0.002,0.001,0.0349,0.061,0.061,0.061,0.0929,0.237,0.6627818363826152,1.183,1.238,2.176558,2.704769,5.05,6.575862736655708,12.210251668688802,21.62570216046869,33.48887199659949,42.3732582483552,48.47514121360104,55.98562167983402,57.01361507360342
6,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.007,0.007,0.005,0.007,0.007,0.0112,0.03812314,0.07901422,0.32532599,0.33759564,0.4083874499999999,0.545075566,1.44312018,2.11464801,2.4518394590000008,3.62555935675,3.5878947166,4.895221293637153,5.62554066316346
7,Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05199,0.0494799999999999,0.0629813927899997,0.0498909749199997,0.0539181667099997,0.0577078140299997,0.0385699199099997,0.0412719445799997,0.0548547113299997,0.0576248025999997,0.07023029788,0.06837744831,0.05088734136,0.00307141922,0.05543717593,0.063324063,0.02902352888
8,Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000962135,0.002682461,0.003204416666,0.00343485,0.00334467,0.002398368,0.056702974648,0.0797424665379999,0.098806316921,0.083958750247,0.0734,0.080257771291,0.08552693725,0.08552693725
9,Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0006,0.0005,0.0006,0.0008,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.2575,0.5943741314886701,1.0541146262971035,1.073432268,1.5024381678166665,1.655,1.804
10,Trinidad & Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00126,0.0,0.0,0.0,0.0,0.0
16,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.02,0.045,0.051,0.067,0.172,0.203,0.366,0.924,1.3312767567447965,1.7527929836760736,2.0371849274937417,2.0112574086827792,1.9540401681317443,2.063913736041848,1.9362363601421613,2.4620290190466725,3.153231562469477,3.845768034519669,4.840343101748367,5.234838273,6.571511136,6.0304294490000006,7.477363298676548,6.794140174904118
17,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.008,0.007,0.007,0.008,0.009,0.008,0.009,0.009,0.008,0.008,0.011,0.013,0.016,0.037,0.057,0.088,0.142,0.227,0.366,0.491,0.637,0.996,1.292,2.312,2.751,3.665,4.6153,5.574,5.437700000000019,6.513700000000022,7.464700000000027,9.725600000000036,13.030866567255403
18,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.02,0.047,0.122,0.237,0.681,0.861,1.221,1.374,1.331,1.452,1.425,1.504064,1.3181230000000002,1.317,1.4772398804058309
19,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.01,0.019,0.035,0.04,0.054,0.139,0.201,0.329,0.517,0.73,0.796,1.014,1.204,1.3354,1.4673,1.7322915735546862
20,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000355,0.000355,0.000355,0.000356,0.000356,0.000356,0.031,0.114,0.185,0.231,0.1839,0.221857,0.2267009999999999,0.21145,0.22061,0.238565,0.239983
21,Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0016,0.0039,0.0099,0.02128,0.049375,0.125098,0.244661,0.288067,0.335493,0.3968,0.4173,0.4783,0.4765,0.5726,0.497,0.5910380000000001,0.60933,0.7000000000000001,0.6991
22,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.006,0.0104999999999999,0.0104999999999999,0.0184999999999999,0.0271,0.0331999999999999,0.0514,0.1256,0.1737999999999999,0.2917,0.4284,0.6103,0.7401000000000001,0.9154,1.0342,1.137,1.1773,1.2269,1.9342,2.8199,3.029,4.2412,4.306019444444444,4.876938888888889,5.560783333333333,6.583111111111111,6.614,6.107958333333334,7.1712,6.9278,6.7205,7.809422222222222,9.774183333333331,10.269938888888888,11.123275,13.078502777777778,14.133091666666663,12.781730555555557,14.78,13.901955555555556,16.149833333333333,16.35334960876875
23,Estonia,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0061,0.0076,0.0539,0.0763,0.091,0.133,0.195,0.277,0.368,0.434,0.529,0.604,0.7151,0.594,0.723,0.636,0.687,0.8232817904374367
24,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0024,0.0044,0.0072,0.0108,0.011,0.0166,0.023,0.049,0.0766,0.0696,0.063,0.0919,0.1203,0.1683,0.1527,0.1884,0.2605,0.2766,0.2943,0.4814,0.4943,0.7737,1.1072,2.3505050505050504,3.0989898989898994,4.843434343434343,5.897979797979799,6.0858585858585865,8.05050505050505
25,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000271526,0.000489604,0.000489604,0.00240218,0.004704,0.0047142,0.0074302,0.0111284,0.0194972,0.03694443,0.048,0.131,0.265,0.388,0.595,0.962,2.182,4.07,5.694,7.912,9.945,12.052,15.107985,16.054344,17.250189,21.350168,21.307965,24.54369,28.530870000000004,34.615359000000005,40.60381526640806
26,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.008,0.026,0.071,0.1,0.275,0.6,0.909,1.5,2.032,2.966,4.489,5.528,9.513,10.509,15.786,18.713,25.509,27.229,30.71,39.71300000000001,40.574,38.648,38.547,49.857,51.68,52.737,58.497,80.624,79.924,105.693,109.951,125.894,130.965
